Date,Loc.,Title,Company,Location,Link,Level
6/11,USA,"Vice President, Global Total Rewards & HR Operations","Advanced Energy Industries, Inc.","Denver, CO",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Human Resources Director: Global HR Technology & Operations,Amspec LLC.,"Cranbury, NJ",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, People Analytics",Blue Origin,"Seattle, WA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, HR Technology",Broad Institute,"Cambridge, MA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Vice President, Total Rewards and People Technology",Cityblock Health,United States,Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Head of People Insights,Danaher Corporation,"New York, NY",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, Workforce Management & Process Improvement",Dior,United States,Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, People Analytics","Everest Re Group, Ltd.","Warren, NJ",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, People Insights & AI Strategy",Finance Technology AS,"Clearwater, FL",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Director of Employee Experience,Foley Equipment,"Kansas City, MO",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Senior Director HR Performance and Planning,Franciscan Missionaries of Our Lady Health System,Louisiana,Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, Organizational Effectiveness",Gilead Sciences,"Foster City, CA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, Human Capital Management Systems",JM Huber Corporation,"Atlanta, GA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, People Analytics & Insights",Mastercard,"Purchase, NY",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, HR Platform Technology",Pacific Life,"Newport Beach, CA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, HR Technology & Analytics",Saint Gobain,"Malvern, PA",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Senior Director, HR Strategy",Samsung Electronics,"Englewood Cliffs, NJ",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Vice President, People Operations & Digital HR Enablement",Securitas,"Parsippany-Troy Hills, NJ",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Director, Workforce & Organizational Strategy Lead",Sumitomo Mitsui Banking Corporation,"New York, NY",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,"Sr Director, Global Talent Operations",Take-Two Interactive Software,"New York, NY",Link,Director / Senior Director / VP - People Analytics Roles
6/11,USA,Head of Global Compensation and Talent Analytics,The Chamberlain Group LLC,"Oak Brook, IL",Link,Director / Senior Director / VP - People Analytics Roles
